canal,rank,titulo,visualizacoes,data_publicacao,likes,dislikes,duracao,,,,link,thumbnail,Transcrição do vídeo,Comentários
Grace For Purpose Prayers,1,ENCOURAGING BIBLE VERSES TO DWELL ON | RELAX | PEACEFUL | GOD'S PROTECTION,9990344,20200804,77563,N/D,03:55:04,https://www.youtube.com/watch?v=f1JxtVW4I5U,https://i.ytimg.com/vi_webp/f1JxtVW4I5U/maxresdefault.webp,https://docs.google.com/document/d/1DFRg70JOR8nlhy44pTm07qEvxL4url_nkBuXbYGQhgc/edit,4300,"Thumbnail média; há figura humana/rosto em destaque; paleta predominante: preto, vermelho, branco; texto em destaque provavelmente ligado a: GOD'S / ENCOURAGING.",,
Grace For Purpose Prayers,2,BEST MORNING PRAYERS FOR PROTECTION | BLESSINGS | BREAKTHROUGH AND FAVOUR,8513915,20200829,124075,N/D,01:01:16,https://www.youtube.com/watch?v=m6aXIcSIHqo,https://i.ytimg.com/vi_webp/m6aXIcSIHqo/maxresdefault.webp,https://docs.google.com/document/d/1sZir_cwm8YXQOyJE200nzh_vyjekRY4k_73aRPYZIiY/edit,11000,"Thumbnail média; há figura humana/rosto em destaque; paleta predominante: preto, branco, marrom; texto visível: ES _ oo / Smee pe Pa i ee / 2 4 Bae eee ee merge.",,
Grace For Purpose Prayers,3,"A Powerful Morning Prayer | God's Favour, Grace and Protection | Start Your Day With This Prayer",7284974,20200805,144331,N/D,11:24,https://www.youtube.com/watch?v=r8mrfq6SNIU,https://i.ytimg.com/vi_webp/r8mrfq6SNIU/maxresdefault.webp,https://docs.google.com/document/d/1qhYUru-BsDSNBnW-Owa4iqprLRiS77r5ye-oX5NTXqY/edit,11000,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: marrom, branco, preto; texto em destaque provavelmente ligado a: GOD'S / FAVOUR / GRACE / PROTECTION.",,
Grace For Purpose Prayers,4,Night Prayer Before Sleep | Be Blessed With This Psalm 121 Prayer As You Fall Asleep,5871841,20220423,87804,N/D,03:22:25,https://www.youtube.com/watch?v=SYxnhrM6ITo,https://i.ytimg.com/vi/SYxnhrM6ITo/maxresdefault.jpg,,4300,"Thumbnail escura; não há figura humana clara em destaque; paleta predominante: preto, laranja; texto em destaque provavelmente ligado a: SLEEP / PSALM / FALL / ASLEEP.",,
Grace For Purpose Prayers,5,"Bless Your Day With This Powerful Morning Prayer | God's Protection, Grace and Mercy",5788946,20200713,90215,N/D,11:43,https://www.youtube.com/watch?v=sAAtaDw49sM,https://i.ytimg.com/vi/sAAtaDw49sM/maxresdefault.jpg,,7900,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: preto, laranja, branco; texto visível: BLESS / / YOUR DAY / & 2 MORNING.",,
Grace For Purpose Prayers,6,Abide In God's Presence Always |  A Blessed Prayer To Start Your Day,4920443,20211227,121645,N/D,11:20,https://www.youtube.com/watch?v=QuOD5BKWuOY,https://i.ytimg.com/vi_webp/QuOD5BKWuOY/maxresdefault.webp,,4800,"Thumbnail escura; não há figura humana clara em destaque; paleta predominante: preto, branco, marrom; texto em destaque provavelmente ligado a: ABIDE / GOD'S / PRESENCE / ALWAYS.",,
Grace For Purpose Prayers,7,A Prayer For Protection Against Evil Plans | Be Covered By God's Grace,4749937,20200824,125884,N/D,10:54,https://www.youtube.com/watch?v=06Vd590jADU,https://i.ytimg.com/vi/06Vd590jADU/maxresdefault.jpg,https://docs.google.com/document/d/1xpmNtmiPWUvwh4uXsymfSrsIcgYiZKcNxFwXwdypgRg/edit,11000,"Thumbnail escura; não há figura humana clara em destaque; paleta predominante: preto, rosa, azul-petróleo; texto visível: PRAYER TOCANCEL S / EVERY ber / NEGATIVE WORD es.",,
Grace For Purpose Prayers,8,The Best Morning Prayers That Will Bless You and Uplift Your Soul!,4591745,20201219,82189,N/D,01:00:16,https://www.youtube.com/watch?v=UZtPDkuPfrk,https://i.ytimg.com/vi_webp/UZtPDkuPfrk/maxresdefault.webp,https://docs.google.com/document/d/12jEKEh1NhZ10K3j51XMx4saFGZxDhN3xLrMUUNX_yug/edit,4800,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: preto, vermelho, rosa; texto visível: g Go PLAY / Fo UT EVERY / _ AMORNIN.",,
Grace For Purpose Prayers,9,Listen To This EVERYDAY | Pray First Before You Start Your Day,4484083,20210717,68197,N/D,01:50:50,https://www.youtube.com/watch?v=dYkx8pSjaGc,https://i.ytimg.com/vi_webp/dYkx8pSjaGc/maxresdefault.webp,https://docs.google.com/document/d/15BhGaRbDIaLY_fW2BiJz7kiuBsV2EHnbehwEXYWTR4o/edit,4300,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: branco, azul, marrom; texto em destaque provavelmente ligado a: EVERYDAY / PRAY.",,
Grace For Purpose Prayers,10,The Best PSALMS Bible Verses | Peaceful Reading For Sleep Or Study,4430859,20200719,53025,N/D,03:56:28,https://www.youtube.com/watch?v=Btsxshb0QQ8,https://i.ytimg.com/vi_webp/Btsxshb0QQ8/maxresdefault.webp,https://docs.google.com/document/d/1IBTHmWZCa-W6JqIrwjYdAqbqgRJp7Kus8mRvi-13aPw/edit,2400,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: preto, laranja, branco; texto em destaque provavelmente ligado a: BEST / PSALMS / BIBLE / VERSES.",,
Grace For Purpose Prayers,11,Beautiful Night Bedtime Prayer For Peaceful Relaxation Before You Sleep (With Bible Reading),4359069,20200614,66204,N/D,13:31,https://www.youtube.com/watch?v=_xOk6cYCK0Q,https://i.ytimg.com/vi/_xOk6cYCK0Q/maxresdefault.jpg,https://docs.google.com/document/d/1l3hqnRJlXWjR6PjogF-69fxKpCAel5gVBCKiBo-Q-R4/edit,5700,"Thumbnail escura; há figura humana/rosto em destaque; paleta predominante: preto, cinza, laranja; texto visível: Ne NIGHT / F PRAYER / y EK BEFORE.",,
