row_index,plataforma,titulo,source_url,image_url,status,file_path,sha1
1,Hotmart,Indisciplina na Sala de Aula: Um Guia Prático para Professores,https://hotmart.com/pt-br/marketplace/produtos/indisciplina-na-sala-de-aula-um-guia-pratico-para-professores/C99820575M,https://hotmart.s3.amazonaws.com/product_pictures/592df02a-bec6-4563-b8b8-db827acc9a4f/DIVULGACAO.png,downloaded,Content/base_de_dados/ebooks_gestao_sala/assets/capas/001-hotmart-indisciplina-na-sala-de-aula-um-guia-pr-tico-para-professores.png,6d682c1479ee6ab70d23a9f64626b4971e63ebbd
2,Hotmart,Vença a Indisciplina Escolar,https://hotmart.com/pt-br/marketplace/produtos/venca-a-indisciplina-escolar/C102320105O,https://hotmart.s3.amazonaws.com/product_pictures/15995a2b-269d-4152-856e-9e0aae25346e/A269156CA4F24B32B1129F960B89C749.png,downloaded,Content/base_de_dados/ebooks_gestao_sala/assets/capas/002-hotmart-ven-a-a-indisciplina-escolar.png,349238e717e3e4799d04b09153bd99911134a3ea
3,Hotmart,Indisciplina Escolar na Prática — O que Fazer Quando o Aluno Não Respeita Limites,https://hotmart.com/pt-br/marketplace/produtos/indisciplina-escolar-na-pratica-o-que-fazer-quando-o-aluno-nao-respeita-limites/T105166777A,https://hotmart.s3.amazonaws.com/product_pictures/38c84717-3781-4709-8efd-288f540551ec/capaindisciplinaescolarsquare.png,downloaded,Content/base_de_dados/ebooks_gestao_sala/assets/capas/003-hotmart-indisciplina-escolar-na-pr-tica-o-que-fazer-quando-o-aluno-n-o-respe.png,90afa721cc9c48fb8fdd0c6df07f4ed388b15062
4,Hotmart,A Liga da Indisciplina,https://hotmart.com/pt-br/marketplace/produtos/a-liga-da-indisciplina/N104126364R,https://hotmart.s3.amazonaws.com/product_pictures/67c30687-eeb5-4fcc-84d5-c8f3cd681a89/CAPAEBOOK03hotmartjpg.jpeg,downloaded,Content/base_de_dados/ebooks_gestao_sala/assets/capas/004-hotmart-a-liga-da-indisciplina.jpg,ef5ed2ad6106b942ae2a5802538b5df969c63fae
5,Hotmart,Sistema Zerando a Indisciplina,https://hotmart.com/pt-br/marketplace/produtos/sistema-zerando-a-indisciplina/K100050468D,https://hotmart.s3.amazonaws.com/product_pictures/8a0555c9-1630-4b19-8334-57eaac1a950d/NoticiasProfessornoBrasilperde20daaulacombaguncanaclassedizestudo2.jpg,downloaded,Content/base_de_dados/ebooks_gestao_sala/assets/capas/005-hotmart-sistema-zerando-a-indisciplina.jpg,585c3f27665abcdc343f7fc4658cc454d6bcd545
6,Hotmart,Da Indisciplina ao Engajamento,https://hotmart.com/pt-br/marketplace/produtos/da-indisciplina-ao-engajamento/J101543415I,https://hotmart.s3.amazonaws.com/product_pictures/078a53b6-3f12-4547-90d7-00895aacf9a9/WhatsAppImage20250821at143352.jpeg,downloaded,Content/base_de_dados/ebooks_gestao_sala/assets/capas/006-hotmart-da-indisciplina-ao-engajamento.jpg,0c283e96df0f920edb72d0c27eb1d12db2aab5d1
7,Hotmart,Como trabalhar indisciplina escolar,https://hotmart.com/pt-br/marketplace/produtos/como-trabalhar-indisciplina-escolar/H5972348T,https://hotmart.s3.amazonaws.com/product_pictures/0fd2ebfa-f2fe-4647-8aee-253e96518823/Comotrabalharindisciplinaescolar.jpg,downloaded,Content/base_de_dados/ebooks_gestao_sala/assets/capas/007-hotmart-como-trabalhar-indisciplina-escolar.jpg,50bdf4bb5f8f6a8b772ca20660542430718e5a26
8,Hotmart,Tudo sobre o Professor,https://hotmart.com/pt-br/marketplace/produtos/tudo-sobre-o-professor/T90055920M,https://hotmart.s3.amazonaws.com/product_pictures/53e95558-03d8-436a-88bc-b8387b57be2e/TUDOSOBREOPROFESSOR.png,downloaded,Content/base_de_dados/ebooks_gestao_sala/assets/capas/008-hotmart-tudo-sobre-o-professor.png,464788bcf4567acecb09944568b2f3fb75707855
9,Clube de Autores,Da sala de aula à gestão da escola,https://clubedeautores.com.br/livro/da-sala-de-aula-a-gestao-da-escola,https://dxkck1miuebqc.cloudfront.net/books/874487/preview/cover_facebook.jpg,downloaded,Content/base_de_dados/ebooks_gestao_sala/assets/capas/009-clube-de-autores-da-sala-de-aula-gest-o-da-escola.jpg,bdfe8963ceb3ea4f7656134c77457bd982016c18
10,Clube de Autores,ANÁLISE SOBRE A INDISCIPLINA ESCOLAR,https://clubedeautores.com.br/livro/analise-sobre-a-indisciplina-escolar,https://dxkck1miuebqc.cloudfront.net/books/319152/preview/cover_facebook.jpg,downloaded,Content/base_de_dados/ebooks_gestao_sala/assets/capas/010-clube-de-autores-an-lise-sobre-a-indisciplina-escolar.jpg,8d285c107b50cbf0e80f1bd6c903396909839b30
