"Time","gestão de sala de aula","indisciplina","disciplina escolar","controle de sala de aula","manejo de classe"
"2004-01-01",0,0,0,0,0
"2004-02-01",0,57,0,0,0
"2004-03-01",0,62,0,0,0
"2004-04-01",0,76,0,0,0
"2004-05-01",0,100,0,0,0
"2004-06-01",0,74,25,0,0
"2004-07-01",0,86,0,0,0
"2004-08-01",0,79,0,0,0
"2004-09-01",0,71,0,0,0
"2004-10-01",0,78,0,0,0
"2004-11-01",0,84,0,0,0
"2004-12-01",0,46,0,0,0
"2005-01-01",0,38,0,0,0
"2005-02-01",0,36,0,0,0
"2005-03-01",0,57,0,0,0
"2005-04-01",0,66,16,0,0
"2005-05-01",0,85,19,0,0
"2005-06-01",0,94,0,0,0
"2005-07-01",0,39,0,0,0
"2005-08-01",0,77,0,0,0
"2005-09-01",0,70,0,0,0
"2005-10-01",0,73,13,0,0
"2005-11-01",0,78,0,0,0
"2005-12-01",0,37,0,0,0
"2006-01-01",0,32,0,0,0
"2006-02-01",0,32,0,0,0
"2006-03-01",0,49,0,0,0
"2006-04-01",0,55,0,0,0
"2006-05-01",0,63,8,0,0
"2006-06-01",0,70,10,0,0
"2006-07-01",0,42,0,0,0
"2006-08-01",0,58,0,0,0
"2006-09-01",0,63,0,0,0
"2006-10-01",0,57,0,0,0
"2006-11-01",0,65,6,0,0
"2006-12-01",0,27,7,0,0
"2007-01-01",0,25,0,0,0
"2007-02-01",0,21,0,0,0
"2007-03-01",0,35,5,0,0
"2007-04-01",0,40,0,0,0
"2007-05-01",0,51,4,0,0
"2007-06-01",0,42,5,0,0
"2007-07-01",0,24,0,0,0
"2007-08-01",0,40,7,0,0
"2007-09-01",0,52,7,0,0
"2007-10-01",4,47,5,0,0
"2007-11-01",0,51,5,0,0
"2007-12-01",0,20,0,0,0
"2008-01-01",0,15,4,0,0
"2008-02-01",0,21,6,0,0
"2008-03-01",3,31,4,0,0
"2008-04-01",0,37,4,0,0
"2008-05-01",0,41,5,0,0
"2008-06-01",0,45,4,0,0
"2008-07-01",0,25,0,0,0
"2008-08-01",0,34,4,0,0
"2008-09-01",0,38,5,0,0
"2008-10-01",0,36,4,0,0
"2008-11-01",0,37,5,0,0
"2008-12-01",0,19,3,0,0
"2009-01-01",0,14,3,0,0
"2009-02-01",0,18,4,0,0
"2009-03-01",0,31,7,0,0
"2009-04-01",0,33,6,0,0
"2009-05-01",0,38,4,0,0
"2009-06-01",3,30,5,0,0
"2009-07-01",0,21,0,0,0
"2009-08-01",0,17,3,0,0
"2009-09-01",3,31,4,0,0
"2009-10-01",0,30,4,0,0
"2009-11-01",0,47,8,0,0
"2009-12-01",3,18,2,0,0
"2010-01-01",0,14,3,0,0
"2010-02-01",0,23,3,0,0
"2010-03-01",0,32,5,0,0
"2010-04-01",0,29,5,0,0
"2010-05-01",0,40,6,0,0
"2010-06-01",0,33,4,0,0
"2010-07-01",0,18,3,0,0
"2010-08-01",0,23,3,0,0
"2010-09-01",0,26,5,0,0
"2010-10-01",0,26,6,0,0
"2010-11-01",0,26,6,0,0
"2010-12-01",2,15,2,0,0
"2011-01-01",1,13,3,0,0
"2011-02-01",0,17,5,0,0
"2011-03-01",1,23,4,0,0
"2011-04-01",1,26,4,0,0
"2011-05-01",1,29,4,0,0
"2011-06-01",1,28,3,0,0
"2011-07-01",1,17,3,0,0
"2011-08-01",1,22,4,0,0
"2011-09-01",1,24,3,0,0
"2011-10-01",0,22,3,0,0
"2011-11-01",1,23,3,0,0
"2011-12-01",0,13,2,0,0
"2012-01-01",1,11,2,0,0
