dataset_id,source_file_id,source_file_name,time_start,time_end,term,max_interest,peak_date,first_nonzero_date,nonzero_months,last_value,relative_rank_in_export,search_intent,pain_inferida,confidence,notes
google_trends_gestao_sala_2026-04-08,15b50c53-2754-469c-9d56-3a4060a12a9c,15b50c53-2754-469c-9d56-3a4060a12a9c,2008-01-01,2026-03-01,indisciplina,100,2010-09-01,2010-09-01,1,0,1,"buscar formas de lidar com comportamento, conflitos e falta de respeito em sala",recuperar controle da turma e reduzir desgaste emocional do professor,high,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,15b50c53-2754-469c-9d56-3a4060a12a9c,15b50c53-2754-469c-9d56-3a4060a12a9c,2008-01-01,2026-03-01,disciplina escolar,27,2011-12-01,2011-12-01,1,0,2,"estabelecer regras, limites e convivencia",reduzir conflitos por meio de normas claras e consistentes,medium,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,15b50c53-2754-469c-9d56-3a4060a12a9c,15b50c53-2754-469c-9d56-3a4060a12a9c,2008-01-01,2026-03-01,controle de sala de aula,11,2015-01-01,2015-01-01,1,0,3,retomar controle imediato e ordem na turma,recuperar autoridade pratica quando a turma perde o foco,medium,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,15b50c53-2754-469c-9d56-3a4060a12a9c,15b50c53-2754-469c-9d56-3a4060a12a9c,2008-01-01,2026-03-01,gestão de sala de aula,0,2008-01-01,nao publico,0,0,4,"organizar rotina, procedimentos e conduzir a turma com previsibilidade",dar fluidez ao dia a dia e evitar improviso constante,high,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,15b50c53-2754-469c-9d56-3a4060a12a9c,15b50c53-2754-469c-9d56-3a4060a12a9c,2008-01-01,2026-03-01,manejo de classe,0,2008-01-01,nao publico,0,0,5,buscar classroom management e manejo pedagogico da turma,traduzir um conceito mais tecnico para a pratica docente,low,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,23e58388-62d3-43d1-9f36-087b5fc61140,23e58388-62d3-43d1-9f36-087b5fc61140,2008-01-01,2026-03-01,indisciplina,100,2008-04-01,2008-04-01,117,2,1,"buscar formas de lidar com comportamento, conflitos e falta de respeito em sala",recuperar controle da turma e reduzir desgaste emocional do professor,high,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,23e58388-62d3-43d1-9f36-087b5fc61140,23e58388-62d3-43d1-9f36-087b5fc61140,2008-01-01,2026-03-01,manejo de classe,20,2013-01-01,2013-01-01,1,0,2,buscar classroom management e manejo pedagogico da turma,traduzir um conceito mais tecnico para a pratica docente,low,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,23e58388-62d3-43d1-9f36-087b5fc61140,23e58388-62d3-43d1-9f36-087b5fc61140,2008-01-01,2026-03-01,disciplina escolar,15,2016-04-01,2016-04-01,6,0,3,"estabelecer regras, limites e convivencia",reduzir conflitos por meio de normas claras e consistentes,medium,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,23e58388-62d3-43d1-9f36-087b5fc61140,23e58388-62d3-43d1-9f36-087b5fc61140,2008-01-01,2026-03-01,gestão de sala de aula,14,2014-08-01,2014-05-01,24,2,4,"organizar rotina, procedimentos e conduzir a turma com previsibilidade",dar fluidez ao dia a dia e evitar improviso constante,high,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,23e58388-62d3-43d1-9f36-087b5fc61140,23e58388-62d3-43d1-9f36-087b5fc61140,2008-01-01,2026-03-01,controle de sala de aula,1,2024-02-01,2024-02-01,1,0,5,retomar controle imediato e ordem na turma,recuperar autoridade pratica quando a turma perde o foco,medium,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
