plataforma,tipo_fonte,titulo,autor_marca,preco_principal,moeda,publico_alvo,url_pagina_vendas,copy_resumo,qtd_visualizacoes_pagina_publica,qtd_avaliacoes,avaliacao_media,paginas_ou_duracao,fonte_1,observacoes,copy_integral_publica,copy_integral_origem,copy_integral_arquivo
Hotmart,ebook,Indisciplina na Sala de Aula: Um Guia Prático para Professores,nao publico,nao publico,BRL,professores da Educacao Infantil ao Ensino Fundamental,https://hotmart.com/pt-br/marketplace/produtos/indisciplina-na-sala-de-aula-um-guia-pratico-para-professores/C99820575M,"Guia direto, acessivel e embasado para lidar com indisciplina com estrategias reais, empatia e pratica.",nao publico,nao publico,nao publico,nao publico,https://hotmart.com/pt-br/marketplace/produtos/indisciplina-na-sala-de-aula-um-guia-pratico-para-professores/C99820575M,"Tem bonus de checklist diagnostico, modelos de bilhetes, guia de reuniao com pais, poster e planner.","Transforme o caos em convivência com estratégias reais, empáticas e aplicáveis. Você sente que está sempre apagando incêndios em sala de aula? Você não...

Transforme o caos em convivência com estratégias reais, empáticas e aplicáveis.

Você sente que está sempre apagando incêndios em sala de aula?

Você não está sozinho.

A indisciplina é uma das maiores causas de estresse e desgaste dos professores atualmente. As salas estão lotadas, os desafios são múltiplos, e as cobranças só aumentam. Mas é possível transformar esse cenário com mais clareza, consciência e prática — e este eBook vai te ajudar nesse caminho.

O que é este eBook?

É um guia direto, acessível e embasado, feito para professores que buscam estratégias reais e possíveis para lidar com a indisciplina no dia a dia da escola.

Criado por um psicopedagogo Sistêmico com experiência em educação socioemocional, sala de aula e orientação de pais, o conteúdo une teoria, prática e humanidade.

Você vai explorar:

- Identificar as causas reais da indisciplina nos tempos de hoje

- Trabalhar com a turma usando competências socioemocionais

- Criar um ambiente mais organizado e favorável à aprendizagem

- Dialogar com os alunos de forma firme e acolhedora

- Envolver as famílias com empatia e postura profissional

- Fortalecer sua autoridade sem recorrer ao grito

Para quem é esse material?

- Professores da Educação Infantil ao Ensino Fundamental

- Educadores iniciantes ou em transição de área

- Professores que desejam renovar sua prática com base na convivência

- Coordenadores e orientadores que apoiam o corpo docente

- Qualquer profissional que sente que a indisciplina tem afetado sua rotina e bem-estar

O que está incluso no eBook:

- Guia com linguagem acessível e fundamentação teórica

- Textos reflexivos e explicativos sobre comportamento e desenvolvimento

- Modelos prontos de bilhetes e comunicados

- Estratégias práticas para aplicar imediatamente

- Atividades e sugestões de rotina com foco socioemocional

BÔNUS EXCLUSIVOS (disponíveis na compra):

- Checklist Diagnóstico Comportamento

- Modelos de Bilhetes Prontos

- Guia Reunião com pais

- Poster com Dicas

- Planner

Indisciplina na Sala de Aula: Um Guia Prático para Professores

Comece na Hotmart gratuitamente

Poucos passos, muitas possibilidades",hotmart_visible_paragraphs,Content/base_de_dados/ebooks_gestao_sala/raw/copy_texts/hotmart-indisciplina-na-sala-de-aula-um-guia-pr-tico-para-professores.md
Hotmart,ebook,Vença a Indisciplina Escolar,Laerte Sandyego Andrade Oliveira,nao publico,BRL,professores e gestores escolares,https://hotmart.com/pt-br/marketplace/produtos/venca-a-indisciplina-escolar/C102320105O,"E-book com solucoes praticas, reflexivas e eficazes para transformar o clima da sala, retomar o controle e ensinar com mais confiança.",nao publico,nao publico,nao publico,nao publico,https://hotmart.com/pt-br/marketplace/produtos/venca-a-indisciplina-escolar/C102320105O,Autor com mais de 13 anos de atuacao em ensino e gestao escolar.,"A indisciplina é um dos maiores desafios da educação contemporânea — e, para muitos professores, é o que mais causa desgaste, desmotivação e sensação de...

A indisciplina é um dos maiores desafios da educação contemporânea — e, para muitos professores, é o que mais causa desgaste, desmotivação e sensação de impotência dentro da sala de aula. Pensando nisso, o e-book “Vença a Indisciplina na Sala de Aula” foi desenvolvido para oferecer soluções práticas, reflexivas e eficazes, baseadas na experiência real de gestão escolar e liderança pedagógica.

Escrito por Laerte Sandyego, diretor educacional com mais de 13 anos de atuação no ensino e gestão de escolas particulares, o material apresenta estratégias claras e testadas para transformar o clima da sala de aula, conquistar o respeito dos alunos e restabelecer o prazer de ensinar.

O e-book “Vença a Indisciplina Escolar” apresenta um conteúdo completo e transformador para professores que desejam retomar o controle da sala de aula com confiança, empatia e resultados reais. Nele, você vai encontrar as principais causas da indisciplina e aprender a identificá-las na prática, além de conhecer técnicas eficazes de prevenção e manejo de comportamentos difíceis. O material mostra como desenvolver uma liderança ativa e respeitosa, o papel da escola e da família na construção da disciplina, e como aplicar uma comunicação assertiva com regras claras e consistentes. Também traz estratégias para lidar com conflitos, manter o equilíbrio emocional e exemplos reais que inspiram e fortalecem o propósito de educar.

Mais do que um simples guia, este e-book é um verdadeiro manual de transformação, pensado para o professor que busca respeito, harmonia e engajamento dentro da sala de aula. Com ele, você aprenderá a dominar estratégias práticas de gestão, manter o foco dos alunos com métodos comprovados, reduzir o estresse e o cansaço docente e desenvolver uma postura mais segura e equilibrada diante dos desafios do cotidiano escolar.

Ao aplicar as técnicas apresentadas, será possível aumentar o respeito e o envolvimento dos alunos, melhorar o clima e reencontrar o brilho da profissão.

Vença a Indisciplina Escolar

Comece na Hotmart gratuitamente

Poucos passos, muitas possibilidades",hotmart_visible_paragraphs,Content/base_de_dados/ebooks_gestao_sala/raw/copy_texts/hotmart-ven-a-a-indisciplina-escolar.md
Hotmart,ebook,Indisciplina Escolar na Prática — O que Fazer Quando o Aluno Não Respeita Limites,Fequito Gomes,nao publico,BRL,professores da educacao basica,https://hotmart.com/pt-br/marketplace/produtos/indisciplina-escolar-na-pratica-o-que-fazer-quando-o-aluno-nao-respeita-limites/T105166777A,"Guia pratico com 30 scripts prontos, 5 passos de intervencao e estrategias para casos desafiadores.",nao publico,nao publico,nao publico,nao publico,https://hotmart.com/pt-br/marketplace/produtos/indisciplina-escolar-na-pratica-o-que-fazer-quando-o-aluno-nao-respeita-limites/T105166777A,"Enfatiza autoridade afetiva, protecao juridica e plano de acao de 30 dias.","O guia mais prático e direto sobre gestão de comportamento em sala de aula: 30 scripts prontos, protocolo de intervenção em 5 passos e estratégias reais...

O guia mais prático e direto sobre gestão de comportamento em sala de aula: 30 scripts prontos, protocolo de intervenção em 5 passos e estratégias reais para os casos mais desafiadores. Para professores que precisam de ferramenta — não de teoria.

O guia cobre: por que a indisciplina aumentou e os 4 tipos que existem; os 6 erros que todo professor comete e como parar de cometê-los; a psicologia por trás do comportamento — o que o aluno está buscando; como prevenir com ambiente, rotina e regras; protocolo de intervenção em 5 passos com o que dizer e o que nunca dizer; 30 scripts prontos para cada situação — aluno que grita, que recusa, que agride, que usa celular; como agir com alunos com TDAH, TEA, ansiedade e trauma; gestão sistêmica com PBS e contrato de comportamento pronto; como conversar com famílias difíceis; proteção jurídica do professor; e plano de ação de 30 dias.

Para professores da educação básica que querem recuperar a autoridade afetiva da sala. Criado por Fequito Gomes, diretor escolar. 2026.

Indisciplina Escolar na Prática — O que Fazer Quando o Aluno Não Respeita Limites

Comece na Hotmart gratuitamente

Poucos passos, muitas possibilidades",hotmart_visible_paragraphs,Content/base_de_dados/ebooks_gestao_sala/raw/copy_texts/hotmart-indisciplina-escolar-na-pr-tica-o-que-fazer-quando-o-aluno-n-o-respeita-limites.md
Hotmart,ebook,A Liga da Indisciplina,Prof. Taty (Tatiane Schmidt),nao publico,BRL,professores dos anos iniciais,https://hotmart.com/pt-br/marketplace/produtos/a-liga-da-indisciplina/N104126364R,"Narrativa envolvente para trabalhar emocoes, comportamento e convivencia sem acusar a crianca.",nao publico,nao publico,nao publico,nao publico,https://hotmart.com/pt-br/marketplace/produtos/a-liga-da-indisciplina/N104126364R,"Material inclui historia completa, orientacoes, dinamica pratica e sugestoes de conversa.","E se o barulho da sua turma fosse um pedido de ajuda disfarçado? Este ebook apresenta uma história envolvente e uma proposta prática para trabalhar...

E se o barulho da sua turma fosse um pedido de ajuda disfarçado?

Este ebook apresenta uma história envolvente e uma proposta prática para trabalhar emoções, comportamento e convivência em sala de aula, ajudando professores a olharem para a indisciplina além da ideia de desobediência.

Por meio dos personagens da Liga da Indisciplina, as crianças são convidadas a reconhecer sentimentos, compreender limites e perceber que conversar é sempre o primeiro passo para resolver conflitos. A narrativa cria identificação sem acusar, permitindo que o aluno se reconheça nas situações apresentadas de forma leve e respeitosa.

Mais do que uma história, este material oferece ao educador um caminho para:

compreender o comportamento infantil como forma de comunicação;

abrir espaço para o diálogo e a escuta em sala de aula;

trabalhar emoções e combinados de forma lúdica;

transformar conflitos em oportunidades de aprendizagem.

O ebook traz:

✔️ a história completa da Liga da Indisciplina;

✔️ orientações para condução em sala de aula;

✔️ uma dinâmica prática para trabalhar comportamento e emoções;

✔️ sugestões de conversa e reflexão com os alunos;

Este material não tem como objetivo silenciar a turma, mas ajudar o professor a compreender o que está por trás do comportamento e construir, junto com os alunos, um ambiente mais tranquilo, respeitoso e colaborativo.

Quando a criança é escutada, o comportamento encontra caminho.

A Liga da Indisciplina

Comece na Hotmart gratuitamente

Poucos passos, muitas possibilidades",hotmart_visible_paragraphs,Content/base_de_dados/ebooks_gestao_sala/raw/copy_texts/hotmart-a-liga-da-indisciplina.md
Hotmart,ebook,Sistema Zerando a Indisciplina,Maria Caroline de Jesus Moreira,nao publico,BRL,professores do Ensino Fundamental,https://hotmart.com/pt-br/marketplace/produtos/sistema-zerando-a-indisciplina/K100050468D,Formacao pratica para assumir o controle da sala com um sistema simples e direto baseado em estrategias comprovadas.,nao publico,nao publico,nao publico,nao publico,https://hotmart.com/pt-br/marketplace/produtos/sistema-zerando-a-indisciplina/K100050468D,Destaca 3 pilares da gestao de sala de aula eficaz.,"A formação definitiva para você assumir o controle da sua sala. Se você é professora do Ensino Fundamental, provavelmente saiu da faculdade cheia de...

A formação definitiva para você assumir o controle da sua sala.

Se você é professora do Ensino Fundamental, provavelmente saiu da faculdade cheia de conteúdos sobre didática, alfabetização e teorias do desenvolvimento… mas ninguém te ensinou como lidar com o que mais atrapalha o seu dia a dia: a INDISCIPLINA.

Essa é a grande FALHA da formação docente. E é justamente isso que o Sistema Zerando a Indisciplina veio resolver.

Neste curso, você vai aprender um sistema simples, direto e comprovado — baseado em estratégias usadas em escolas do mundo todo, fundamentadas em evidências científicas e adaptadas à realidade brasileira.

Você vai dominar os 3 pilares da gestão de sala de aula eficaz:

✔ Como criar regras que os alunos realmente respeitam

✔ Como aplicar consequências sem se exaltar, com neutralidade e constância

✔ Como usar procedimentos para organizar a rotina e prevenir a indisciplina antes que ela aconteça

Tudo explicado em aulas curtas, práticas e objetivas, pra você aplicar com segurança desde a primeira semana.

Além disso, você recebe um bônus exclusivo: o Plano de Implementação em 10 Dias, que mostra passo a passo como colocar o sistema em prática, mesmo se sua turma for agitada ou resistente a mudanças. E não acaba aí: você recebe todos os recursos prontos para imprimir e aplicar. Cartazes, fichas, bilhetes, formulários e muito mais.

Chega de se desgastar com sermões, gritos e ameaças.

Você não precisa mais sentir que perdeu o controle da sala.

Existe um caminho. E ele começa aqui.

SISTEMA ZERANDO A INDISCIPLINA.

O curso que deveria ter feito parte da sua formação inicial — mas que, agora, vai transformar a sua sala de aula.

Sistema Zerando a Indisciplina

Comece na Hotmart gratuitamente

Poucos passos, muitas possibilidades",hotmart_visible_paragraphs,Content/base_de_dados/ebooks_gestao_sala/raw/copy_texts/hotmart-sistema-zerando-a-indisciplina.md
Hotmart,ebook,Da Indisciplina ao Engajamento,nao publico,nao publico,BRL,professores e educadores,https://hotmart.com/pt-br/marketplace/produtos/da-indisciplina-ao-engajamento/J101543415I,"Propõe transformar indisciplina em participacao ativa e engajamento genuino com teoria, pratica e empatia.",nao publico,nao publico,nao publico,nao publico,https://hotmart.com/pt-br/marketplace/produtos/da-indisciplina-ao-engajamento/J101543415I,Autor nao exibido no recorte recuperado.,"Este livro ""Da Indisciplina ao Engajamento"" é um convite à reflexão e à prática para todos que enfrentam os desafios da indisciplina em sala de aula e...

Este livro ""Da Indisciplina ao Engajamento"" é um convite à reflexão e à prática para todos que enfrentam os desafios da indisciplina em sala de aula e buscam transformá-la em participação ativa e engajamento genuíno. Mais do que tratar a indisciplina como um obstáculo, a obra propõe compreendê-la como um ponto de partida para construir relações mais saudáveis, ambientes de aprendizagem mais produtivos e processos de convivência mais respeitosos.

Com uma linguagem clara e acessível, a autora apresenta estratégias, reflexões e recursos práticos que mostram como transformar comportamentos dispersos ou resistentes em motivação, pertencimento e envolvimento. Através de uma abordagem que une teoria e prática, o livro revela que o engajamento não nasce da imposição, mas do diálogo, da escuta, da empatia, de aulas bem planejadas e da criação de vínculos significativos para todos os envolvidos no processo de ensino e aprendizagem.

Da Indisciplina ao Engajamento

Comece na Hotmart gratuitamente

Poucos passos, muitas possibilidades",hotmart_visible_paragraphs,Content/base_de_dados/ebooks_gestao_sala/raw/copy_texts/hotmart-da-indisciplina-ao-engajamento.md
Hotmart,curso,Como trabalhar indisciplina escolar,Túria Costa Lopes,nao publico,BRL,professores,https://hotmart.com/pt-br/marketplace/produtos/como-trabalhar-indisciplina-escolar/H5972348T,"Curso com atividades e estrategias para manter alunos atentos, interessados e disciplinados.",nao publico,11,4.5,nao publico,https://hotmart.com/pt-br/marketplace/produtos/como-trabalhar-indisciplina-escolar/H5972348T,"Inclui bonus como palestra, ebook de feedback e documentos prontos.","Um curso online para professores que queiram aprender atividades e estratégias para manter os alunos atentos, interessados, disciplinados e, portanto,...

Um curso online para professores que queiram aprender atividades e estratégias para manter os alunos atentos, interessados, disciplinados e, portanto, aprendendo mais.

É um curso baseado em estudos realizados com professores eficazes nos Estados Unidos que ajudaram alunos com diversos problemas de comportamento e social a terem um melhor desempenho e ótima disciplina.

Mas será que é possível amenizar episódios de indisciplina mesmo sem ajuda dos pais? Sim, segundo esses autores abaixo e muitos outros.

Crowley , 1993; Ferguson & Howton, 1992; Hattie.J., 2012; Haughton et. al., 1990; Parsa, 1996; Kyle, 1991; Sherrill, et. al., 1996; Jones & Versilind, 1995; Morrison, et. al. 1993; Crowley, 1993; Sartipi, 1992; Shahmoradi, 1999; Wallace, 1994

Aproveite esta oportunidade e comece seu curso com técnicas práticas e fáceis de serem aplicadas em sala de aula neste mês e GANHE 4 BÔNUS:

- 1 palestra sobre Mentalidade de crescimento

- 1 ebook sobre Tipos de feedback

- 2 documentos em word, o ""Acordo de comportamento"" que será importantíssimo para te ajudar a traçar e acompanhar as metas de mudança de comportamento e o ""Registro das técnicas"" para acompanhar a aplicação das técnicas.

Como trabalhar indisciplina escolar

Comece na Hotmart gratuitamente

Poucos passos, muitas possibilidades",hotmart_visible_paragraphs,Content/base_de_dados/ebooks_gestao_sala/raw/copy_texts/hotmart-como-trabalhar-indisciplina-escolar.md
Hotmart,ebook,Tudo sobre o Professor,Professora Mariana / Coração de Educador,nao publico,BRL,professores e familias,https://hotmart.com/pt-br/marketplace/produtos/tudo-sobre-o-professor/T90055920M,"Material para criar vinculo mais proximo e pessoal entre professores, alunos e familias.",nao publico,10,3.1,nao publico,https://hotmart.com/pt-br/marketplace/produtos/tudo-sobre-o-professor/T90055920M,Produto editavel em Word e pode ser personalizado com foto.,"🍎 Conheça o Professor! 🌈 Objetivo do Material: 🎯O nosso especial ""Tudo Sobre o Professor"" tem como objetivo criar um vínculo mais próximo e pessoal entre...

🍎 Conheça o Professor! 🌈

Objetivo do Material:

🎯O nosso especial ""Tudo Sobre o Professor"" tem como objetivo criar um vínculo mais próximo e pessoal entre professores, alunos e famílias. Queremos transformar a relação em sala de aula, tornando-a mais humana, afetiva e transparente.

👉Editável e pode personalizar com sua foto

👉Você pode compartilhar suas histórias

👉Perfeito para reuniões e sala de aula

👉ARQUIVO EDITÁVEL NO WORD

Tudo sobre o Professor

Comece na Hotmart gratuitamente

Poucos passos, muitas possibilidades",hotmart_visible_paragraphs,Content/base_de_dados/ebooks_gestao_sala/raw/copy_texts/hotmart-tudo-sobre-o-professor.md
Clube de Autores,ebook,Da sala de aula à gestão da escola,Adaires Rodrigues de Sousa,"R$ 47,37",BRL,"gestores, professores e comunidade escolar",https://clubedeautores.com.br/livro/da-sala-de-aula-a-gestao-da-escola,"Roteiro efetivo para elaborar o PPP com participacao de todos, com 72 sequencias didaticas.",1328,nao publico,nao publico,100,https://clubedeautores.com.br/livro/da-sala-de-aula-a-gestao-da-escola,Categorias incluem Gestão Da Sala De Aula; edicao de 2025.,"Sinopse

O Projeto Político-Pedagógico (PPP) é muito mais que um documento: é a identidade viva da escola. No entanto, em muitos contextos, sua elaboração acaba reduzida a um exercício burocrático, distante do cotidiano e da participação da comunidade.",clube_summary,Content/base_de_dados/ebooks_gestao_sala/raw/copy_texts/clube-de-autores-da-sala-de-aula-gest-o-da-escola.md
Clube de Autores,ebook,ANÁLISE SOBRE A INDISCIPLINA ESCOLAR,ALINE SILVA,"ebook R$ 18,00",BRL,leitores interessados em convivencia escolar,https://clubedeautores.com.br/livro/analise-sobre-a-indisciplina-escolar,Livro sobre as faces da indisciplina escolar e caminhos para solucionar ou amenizar os problemas.,1814,nao publico,nao publico,75,https://clubedeautores.com.br/livro/analise-sobre-a-indisciplina-escolar,Perfil do autor exibido na pagina e assinatura de perfil podem divergir.,"Este é um excelente livro sobre a indisciplina no espaço escolar. Aqui mostramos as faces desse problema social, apontamos caminhos para solucionar ou amenizar tais problemas. Um livro muito bem pesquisado e de excelente escrita. Com certeza, o leitor sairá de sua leitura muito enriquecido.

Sinopse",clube_summary,Content/base_de_dados/ebooks_gestao_sala/raw/copy_texts/clube-de-autores-an-lise-sobre-a-indisciplina-escolar.md
